sample_id,category,risk_level,risk_score
MEDIUM_0100,vlan_add,medium,36
MEDIUM_0099,static_route_add,medium,50
MEDIUM_0094,interface_ip_change,medium,48
LOW_0030,banner_change,low,6
HIGH_0279,acl_deny_any_inbound,high,96
HIGH_0233,remove_nat_overload,high,95
LOW_0026,banner_change,low,5
MEDIUM_0097,qos_service_policy,medium,49
MEDIUM_HIGH_0224,permit_any_any,medium-high,68
LOW_0071,ntp_server,low,11
MEDIUM_HIGH_0213,passive_interface_change,medium-high,62
LOW_0024,banner_change,low,8
LOW_0021,ntp_server,low,19
MEDIUM_HIGH_0162,vty_access_change,medium-high,72
MEDIUM_HIGH_0222,acl_apply_outbound,medium-high,61
MEDIUM_0134,interface_ip_change,medium,48
MEDIUM_HIGH_0209,remove_vlan,medium-high,70
HIGH_0281,interface_shutdown_critical,high,93
MEDIUM_0128,bgp_network_add,medium,51
MEDIUM_0078,nat_add,medium,57
MEDIUM_HIGH_0164,trunk_allowed_vlan_change,medium-high,67
MEDIUM_0084,static_route_add,medium,35
MEDIUM_0086,static_route_add,medium,46
MEDIUM_0144,bgp_network_add,medium,52
MEDIUM_HIGH_0204,permit_any_any,medium-high,75
LOW_0051,logging_host,low,14
LOW_0019,ntp_server,low,12
MEDIUM_0149,bgp_network_add,medium,60
LOW_0036,add_loopback_not_advertised,low,15
HIGH_0227,remove_nat_overload,high,91
LOW_0072,ntp_server,low,20
HIGH_0235,reload,high,99
LOW_0067,logging_host,low,15
MEDIUM_HIGH_0217,ospf_cost_change,medium-high,61
MEDIUM_0127,interface_ip_change,medium,57
HIGH_0286,remove_ospf_process,high,100
HIGH_0248,interface_shutdown_critical,high,87
MEDIUM_HIGH_0202,passive_interface_change,medium-high,60
MEDIUM_HIGH_0183,passive_interface_change,medium-high,71
LOW_0066,logging_host,low,14
MEDIUM_HIGH_0208,remove_vlan,medium-high,80
MEDIUM_HIGH_0163,permit_any_any,medium-high,70
LOW_0060,logging_host,low,15
HIGH_0238,management_lockout,high,94
MEDIUM_HIGH_0201,trunk_allowed_vlan_change,medium-high,70
LOW_0070,ntp_server,low,15
LOW_0075,ntp_server,low,19
HIGH_0252,remove_nat_overload,high,95
HIGH_0288,remove_ospf_process,high,98
MEDIUM_0116,static_route_add,medium,44
HIGH_0272,write_erase,high,100
HIGH_0262,write_erase,high,100
MEDIUM_HIGH_0225,acl_apply_outbound,medium-high,60
HIGH_0280,write_erase,high,100
LOW_0003,logging_host,low,12
MEDIUM_HIGH_0221,passive_interface_change,medium-high,61
MEDIUM_HIGH_0193,ospf_cost_change,medium-high,69
LOW_0052,ntp_server,low,13
MEDIUM_0083,snmp_community_change,medium,43
HIGH_0285,interface_shutdown_critical,high,86
LOW_0016,banner_change,low,5
LOW_0020,add_loopback_not_advertised,low,10
MEDIUM_HIGH_0168,vty_access_change,medium-high,69
LOW_0068,add_loopback_not_advertised,low,19
HIGH_0249,interface_shutdown_critical,high,97
LOW_0061,add_loopback_not_advertised,low,17
MEDIUM_0141,vlan_add,medium,25
LOW_0044,ntp_server,low,12
HIGH_0243,remove_default_route,high,94
HIGH_0271,remove_interface_ip,high,89
LOW_0064,add_loopback_not_advertised,low,16
MEDIUM_0119,vlan_add,medium,25
MEDIUM_HIGH_0167,acl_apply_outbound,medium-high,69
HIGH_0266,remove_ospf_process,high,98
HIGH_0283,write_erase,high,100
HIGH_0247,acl_deny_any_inbound,high,100
MEDIUM_HIGH_0206,passive_interface_change,medium-high,68
MEDIUM_HIGH_0194,bgp_neighbor_add,medium-high,65
LOW_0046,logging_host,low,14
MEDIUM_HIGH_0219,acl_apply_outbound,medium-high,70
HIGH_0258,management_lockout,high,93
MEDIUM_0145,ospf_network_add,medium,51
LOW_0005,interface_description,low,6
HIGH_0265,reload,high,95
MEDIUM_HIGH_0186,trunk_allowed_vlan_change,medium-high,74
MEDIUM_0103,bgp_network_add,medium,52
HIGH_0295,reload,high,100
LOW_0017,logging_host,low,8
MEDIUM_0133,snmp_community_change,medium,43
MEDIUM_0085,snmp_community_change,medium,55
HIGH_0261,interface_shutdown_critical,high,89
MEDIUM_0130,interface_ip_change,medium,48
MEDIUM_0150,ospf_network_add,medium,50
MEDIUM_HIGH_0187,vty_access_change,medium-high,68
LOW_0032,interface_description,low,10
MEDIUM_0089,interface_ip_change,medium,55
HIGH_0291,write_erase,high,100
MEDIUM_HIGH_0216,trunk_allowed_vlan_change,medium-high,71
MEDIUM_0126,nat_add,medium,58
LOW_0056,ntp_server,low,13
MEDIUM_HIGH_0181,trunk_allowed_vlan_change,medium-high,65
MEDIUM_HIGH_0172,remove_vlan,medium-high,73
MEDIUM_0114,vlan_add,medium,28
MEDIUM_0098,nat_add,medium,55
MEDIUM_0136,nat_add,medium,51
LOW_0002,add_loopback_not_advertised,low,18
LOW_0045,banner_change,low,8
MEDIUM_0081,nat_add,medium,50
LOW_0011,banner_change,low,8
MEDIUM_HIGH_0158,remove_vlan,medium-high,73
MEDIUM_HIGH_0189,remove_vlan,medium-high,75
MEDIUM_HIGH_0171,permit_any_any,medium-high,76
LOW_0025,ntp_server,low,16
HIGH_0270,remove_ospf_process,high,95
MEDIUM_HIGH_0159,trunk_allowed_vlan_change,medium-high,63
HIGH_0242,remove_ospf_process,high,98
HIGH_0289,management_lockout,high,94
HIGH_0274,write_erase,high,100
MEDIUM_HIGH_0185,ospf_cost_change,medium-high,64
LOW_0031,banner_change,low,3
MEDIUM_0087,bgp_network_add,medium,58
LOW_0054,logging_host,low,10
HIGH_0268,remove_bgp_neighbor,high,90
HIGH_0278,remove_default_route,high,91
MEDIUM_HIGH_0196,passive_interface_change,medium-high,61
MEDIUM_HIGH_0151,ospf_cost_change,medium-high,66
MEDIUM_0146,qos_service_policy,medium,43
HIGH_0259,remove_nat_overload,high,91
MEDIUM_0122,bgp_network_add,medium,51
MEDIUM_HIGH_0192,passive_interface_change,medium-high,65
MEDIUM_HIGH_0176,remove_vlan,medium-high,73
MEDIUM_HIGH_0198,passive_interface_change,medium-high,68
MEDIUM_0092,ospf_network_add,medium,48
MEDIUM_HIGH_0195,vty_access_change,medium-high,73
MEDIUM_HIGH_0166,permit_any_any,medium-high,74
HIGH_0240,remove_default_route,high,94
LOW_0006,ntp_server,low,14
LOW_0008,add_loopback_not_advertised,low,15
MEDIUM_HIGH_0218,bgp_neighbor_add,medium-high,67
LOW_0013,banner_change,low,4
MEDIUM_0118,vlan_add,medium,32
LOW_0033,interface_description,low,7
MEDIUM_0107,bgp_network_add,medium,55
HIGH_0226,remove_ospf_process,high,100
HIGH_0231,interface_shutdown_critical,high,86
LOW_0014,add_loopback_not_advertised,low,17
HIGH_0251,write_erase,high,100
MEDIUM_HIGH_0191,permit_any_any,medium-high,75
MEDIUM_HIGH_0165,ospf_cost_change,medium-high,61
MEDIUM_HIGH_0157,bgp_neighbor_add,medium-high,70
MEDIUM_HIGH_0207,acl_apply_outbound,medium-high,67
